C91102	C20993
C100107	C91102
C100108	C91102
C100109	C91102
C10011	C61063
C647	C521
C100110	C120166
C120166	C66830
C100111	C91102
C100112	C91102
C100113	C91102
C100114	C91102
C100115	C91102
C100116	C91102
C100117	C91102
C100118	C91102
C100119	C91102
C10012	C61063
C100120	C91102
C100121	C91102
C100122	C64430
C64430	C49237
C65047	C66830
C65047	C77526
C67154	C66830
C67154	C77526
C100123	C91102
C100124	C91102
C100125	C91102
C100126	C91102
C100127	C91102
C100128	C198996
C198996	C25190
C100129	C100110
C10013	C61063
C100130	C66830
C100131	C100110
C100132	C100110
C100133	C118970
C118970	C120166
C100134	C118970
C100135	C100110
C100136	C100110
C100137	C118970
C100138	C118970
C100139	C100110
C10014	C61063
C665	C253
C100140	C100110
C100141	C115302
C115302	C120166
C100142	C115302
C100143	C100110
C100144	C100110
C100145	C103175
C103175	C54443
C100146	C103175
C100147	C118970
C100148	C118970
C100149	C103175
C10015	C61063
C425	C475
C100150	C103175
C100151	C100110
C100152	C100110
C100153	C100110
C100154	C100110
C100155	C100110
C100156	C100110
C100157	C100110
C100158	C100110
C100159	C100110
C10016	C61063
C1583	C1594
C195	C574
C195	C1556
C403	C1557
C100160	C100110
C100161	C100110
C100162	C100110
C100163	C100110
C100164	C100110
C100165	C100110
C100166	C100110
C100167	C100110
C100168	C100110
C100169	C118970
C10017	C61063
C100170	C118970
C100171	C91102
C100172	C91102
C100173	C100110
C100174	C100110
C100175	C100110
C100176	C100110
C100177	C100106
C100178	C100106
C100179	C100106
C10018	C61063
C491	C1331
C100180	C100106
C100181	C100106
C100182	C100106
C100183	C100106
C100184	C100106
C100185	C100106
C100186	C100106
C100187	C100106
C100188	C100106
C100189	C100106
C10019	C67204
C67204	C63589
C1062	C1594
C288	C2083
C288	C1557
C100190	C100106
C100191	C100106
C100192	C100106
C100193	C100106
C100194	C100106
C100195	C100106
C100196	C100106
C100197	C100106
C100198	C100106
C100199	C100106
C1002	C530
C530	C307
C10020	C61063
C100200	C100106
C100201	C100106
C100202	C100106
C100203	C100106
C100204	C100106
C100205	C100106
C100206	C100106
C100207	C100106
C100208	C100106
C100209	C100106
C10021	C61007
C298	C62761
C513	C2021
C513	C1557
C100210	C100106
C100211	C100106
